Monto	Unidad Monetaria	Valor UF	M2	Baños	Dormitorios	Comuna
450000	CLP	11,49	55	2	2	Santiago
379000	CLP	9,67	42	1	2	Santiago
325000	CLP	8,3	31	1	1	Santiago
295000	CLP	7,53	26	1	1	Santiago
329000	CLP	8,4	28	1	1	Santiago
420000	CLP	10,72	45	2	2	Santiago
300000	CLP	7,66	25	1	1	Santiago
379000	CLP	9,67	48	2	2	Santiago
400000	CLP	10,21	38	1	2	Santiago
500000	CLP	12,76	53	1	2	Santiago
650000	CLP	16,59	74	2	3	Santiago
280000	CLP	7,15	24	1	1	Santiago
400000	CLP	10,21	38	1	1	Santiago
380000	CLP	9,7	50	1	2	Santiago
330000	CLP	8,42	35	1	1	Santiago
290000	CLP	7,4	32	1	1	Santiago
450000	CLP	11,49	50	2	2	Santiago
270000	CLP	6,89	36	1	1	Santiago
370000	CLP	9,44	49	1	2	Santiago
490000	CLP	12,51	55	1	2	Santiago
520000	CLP	13,27	45	2	2	Santiago
350000	CLP	8,93	36	1	1	Santiago
410000	CLP	10,46	35	1	1	Santiago
370000	CLP	9,44	34	1	1	Santiago
395000	CLP	10,08	47	2	2	Santiago
450000	CLP	11,49	45	2	2	Santiago
250000	CLP	6,38	29	1	1	Santiago
485000	CLP	12,38	61	2	2	Santiago
350000	CLP	8,93	43	1	2	Santiago
350000	CLP	8,93	38	1	2	Santiago
400000	CLP	10,21	45	1	2	Santiago
420000	CLP	10,72	36	1	1	Santiago
380000	CLP	9,7	36	1	1	Santiago
270000	CLP	6,89	30	1	1	Santiago
250000	CLP	6,38	33	1	1	Santiago
320000	CLP	8,17	45	1	1	Santiago
290000	CLP	7,4	24	1	1	Santiago
380000	CLP	9,7	50	1	2	Santiago
330000	CLP	8,42	40	1	2	Santiago
390000	CLP	9,95	60	1	3	Santiago
350000	CLP	8,93	33	1	1	Santiago
300000	CLP	7,66	27	1	1	Santiago
280000	CLP	7,15	22	1	1	Santiago
280000	CLP	7,15	55	1	1	Santiago
350000	CLP	8,93	43	1	2	Santiago
500000	CLP	12,76	65	2	3	Santiago
520000	CLP	13,27	67	1	3	Santiago
500000	CLP	12,76	56	2	2	Santiago
300000	CLP	7,66	30	1	1	Santiago
440000	CLP	11,23	60	1	1	Santiago
260000	CLP	6,64	27	1	1	Santiago
480000	CLP	12,25	65	2	2	Santiago
420000	CLP	10,72	54	2	3	Santiago
580000	CLP	14,8	77	2	3	Santiago
370000	CLP	9,44	40	2	2	Santiago
320000	CLP	8,17	33	1	1	Santiago
500000	CLP	12,76	50	1	2	Santiago
370000	CLP	9,44	38	1	1	Santiago
400000	CLP	10,21	47	1	2	Santiago
450000	CLP	11,49	40	2	2	Santiago
490000	CLP	12,51	60	2	2	Santiago
500000	CLP	12,76	62	2	2	Santiago
490000	CLP	12,51	44	1	2	Santiago
180000	CLP	4,59	21	1	1	Santiago
350000	CLP	8,93	32	1	1	Santiago
340000	CLP	8,68	31	1	1	Santiago
410000	CLP	10,46	56	2	2	Santiago
360000	CLP	9,19	40	1	2	Santiago
450000	CLP	11,49	45	2	2	Santiago
250000	CLP	6,38	26	1	1	Santiago
300000	CLP	7,66	33	1	1	Santiago
320000	CLP	8,17	35	1	1	Santiago
350000	CLP	8,93	28	1	1	Santiago
320000	CLP	8,17	36	1	1	Santiago
400000	CLP	10,21	55	2	2	Santiago
300000	CLP	7,66	34	1	1	Santiago
315000	CLP	8,04	29	1	1	Santiago
290000	CLP	7,4	27	1	1	Santiago
390000	CLP	9,95	42	1	2	Santiago
330000	CLP	8,42	35	1	1	Santiago
370000	CLP	9,44	62	1	3	Santiago
450000	CLP	11,49	48	2	2	Santiago
520000	CLP	13,27	60	2	2	Santiago
450000	CLP	11,49	48	2	2	Santiago
290000	CLP	7,4	35	1	1	Santiago
250000	CLP	6,38	25	1	1	Santiago
240000	CLP	6,13	30	1	1	Santiago
280000	CLP	7,15	29	1	1	Santiago
390000	CLP	9,95	35	1	1	Santiago
290000	CLP	7,4	31	1	1	Santiago
180000	CLP	4,59	31	1	1	Santiago
470000	CLP	12	52	2	2	Santiago
245000	CLP	6,25	28	1	1	Santiago
290000	CLP	7,4	36	1	1	Santiago
280000	CLP	7,15	30	1	1	Santiago
300000	CLP	7,66	35	1	1	Santiago
9	UF	9	27	1	1	Santiago
430000	CLP	10,98	50	1	2	Santiago
7	UF	7	25	1	1	Santiago
290000	CLP	7,4	32	1	1	Santiago
390000	CLP	9,95	60	1	3	Santiago
300000	CLP	7,66	36	1	1	Santiago
530000	CLP	13,53	34	1	1	Santiago
11	UF	11	54	1	2	Santiago
290000	CLP	7,4	26	1	1	Santiago
300000	CLP	7,66	23	1	1	Santiago
260000	CLP	6,64	32	1	1	Santiago
260000	CLP	6,64	27	1	1	Santiago
350000	CLP	8,93	35	1	2	Santiago
280000	CLP	7,15	31	1	1	Santiago
325000	CLP	8,3	26	1	1	Santiago
280000	CLP	7,15	40	1	1	Santiago
520000	CLP	13,27	75	2	2	Santiago
510000	CLP	13,02	52	1	2	Santiago
430000	CLP	10,98	47	1	1	Santiago
320000	CLP	8,17	32	1	1	Santiago
150000	CLP	3,83	27	1	1	Santiago
398000	CLP	10,16	60	1	2	Santiago
300000	CLP	7,66	25	1	1	Santiago
290000	CLP	7,4	24	1	1	Santiago
330000	CLP	8,42	31	1	1	Santiago
330000	CLP	8,42	36	1	1	Santiago
335000	CLP	8,55	30	1	1	Santiago
330000	CLP	8,42	31	1	1	Santiago
150000	CLP	3,83	35	1	1	Santiago
500000	CLP	12,76	70	2	3	Santiago
300000	CLP	7,66	28	1	1	Santiago
280000	CLP	7,15	30	1	1	Santiago
270000	CLP	6,89	20	1	1	Santiago
350000	CLP	8,93	40	1	1	Santiago
290000	CLP	7,4	34	1	1	Santiago
300000	CLP	7,66	23	1	1	Santiago
280000	CLP	7,15	38	1	1	Santiago
300000	CLP	7,66	22	1	1	Santiago
300000	CLP	7,66	24	1	1	Santiago
330000	CLP	8,42	30	1	1	Santiago
300000	CLP	7,66	37	1	1	Santiago
310000	CLP	7,91	33	1	1	Santiago
295000	CLP	7,53	30	1	1	Santiago
300000	CLP	7,66	26	1	1	Santiago
300000	CLP	7,66	33	1	1	Santiago
420000	CLP	10,72	45	1	2	Santiago
340000	CLP	8,68	31	1	1	Santiago
330000	CLP	8,42	31	1	1	Santiago
330000	CLP	8,42	40	1	1	Santiago
420000	CLP	10,72	50	2	2	Santiago
240000	CLP	6,13	24	1	1	Santiago
9	UF	9	35	1	1	Santiago
460000	CLP	11,74	40	1	2	Santiago
370000	CLP	9,44	32	1	1	Santiago
270000	CLP	6,89	30	1	1	Santiago
440000	CLP	11,23	50	2	2	Santiago
320000	CLP	8,17	45	1	2	Santiago
300000	CLP	7,66	33	1	1	Santiago
450000	CLP	11,49	61	2	3	Santiago
550000	CLP	14,04	50	1	2	Santiago
430000	CLP	10,98	34	1	1	Santiago
430000	CLP	10,98	34	1	1	Santiago
430000	CLP	10,98	34	1	1	Santiago
300000	CLP	7,66	28	1	1	Santiago
200000	CLP	5,1	48	1	1	Santiago
370000	CLP	9,44	45	1	1	Santiago
330000	CLP	8,42	35	1	1	Santiago
450000	CLP	11,49	47	2	2	Santiago
15	UF	15	71	2	3	Santiago
375000	CLP	9,57	45	1	2	Santiago
499000	CLP	12,74	65	2	2	Santiago
550000	CLP	14,04	90	2	3	Santiago
290000	CLP	7,4	25	1	1	Santiago
360000	CLP	9,19	40	2	2	Santiago
240000	CLP	6,13	30	1	1	Santiago
450000	CLP	11,49	52	1	1	Santiago
13	UF	13	53	2	2	Santiago
280000	CLP	7,15	20	1	1	Santiago
345000	CLP	8,81	48	1	2	Santiago
365000	CLP	9,32	28	1	1	Santiago
280000	CLP	7,15	20	1	1	Santiago
310000	CLP	7,91	28	1	1	Santiago
350000	CLP	8,93	55	2	2	Santiago
360000	CLP	9,19	31	1	1	Santiago
360000	CLP	9,19	35	1	1	Santiago
360000	CLP	9,19	38	1	1	Santiago
265000	CLP	6,76	18	1	1	Santiago
275000	CLP	7,02	21	1	1	Santiago
275000	CLP	7,02	17	1	1	Santiago
295000	CLP	7,53	37	1	1	Santiago
300000	CLP	7,66	24	1	1	Santiago
360000	CLP	9,19	37	1	1	Santiago
360000	CLP	9,19	35	1	1	Santiago
290000	CLP	7,4	32	1	1	Santiago
335000	CLP	8,55	42	1	2	Santiago
335000	CLP	8,55	38	1	1	Santiago
315000	CLP	8,04	33	1	1	Santiago
300000	CLP	7,66	29	1	1	Santiago
260000	CLP	6,64	20	1	1	Santiago
460000	CLP	11,74	47	2	2	Santiago
360000	CLP	9,19	38	1	1	Santiago
380000	CLP	9,7	36	1	2	Santiago
290000	CLP	7,4	33	1	1	Santiago
220000	CLP	5,62	20	1	1	Santiago
360000	CLP	9,19	34	1	1	Santiago
340000	CLP	8,68	27	1	1	Santiago
300000	CLP	7,66	25	1	1	Santiago
455000	CLP	11,61	50	1	3	Santiago
250000	CLP	6,38	22	1	1	Santiago
300000	CLP	7,66	25	1	1	Santiago
380000	CLP	9,7	33	1	1	Santiago
245000	CLP	6,25	17	1	1	Santiago
460000	CLP	11,74	50	2	2	Santiago
240000	CLP	6,13	26	1	1	Santiago
278000	CLP	7,1	26	1	1	Santiago
270000	CLP	6,89	36	1	2	Santiago
400000	CLP	10,21	34	1	1	Santiago
285000	CLP	7,27	29	1	1	Santiago
380000	CLP	9,7	33	1	1	Santiago
360000	CLP	9,19	35	1	1	Santiago
228000	CLP	5,82	20	1	1	Santiago
260000	CLP	6,64	31	1	1	Santiago
275000	CLP	7,02	26	1	1	Santiago
340000	CLP	8,68	30	1	1	Santiago
340000	CLP	8,68	30	1	1	Santiago
400000	CLP	10,21	52	2	2	Santiago
300000	CLP	7,66	31	1	1	Santiago
230000	CLP	5,87	34	1	1	Santiago
370000	CLP	9,44	50	1	2	Santiago
310000	CLP	7,91	31	1	1	Santiago
325000	CLP	8,3	35	1	1	Santiago
280000	CLP	7,15	35	1	1	Santiago
300000	CLP	7,66	42	1	1	Santiago
300000	CLP	7,66	40	1	2	Santiago
270000	CLP	6,89	28	1	1	Santiago
300000	CLP	7,66	35	1	1	Santiago
400000	CLP	10,21	32	1	1	Santiago
